"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"52","Yeah..... Dats the effect of #AvengersEndgame trailer..... Even NASA wants him to be saved..... 😂😂😂😂😂 https://t.co/1oj0URjccV",FALSE,0,NA,2018-12-10 09:11:29,FALSE,NA,"1072056197254012929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sammy_kol",0,FALSE,FALSE,NA,NA
"53","RT @MCU_Tweets: ""Hi, uh, is anyone home? This is Scott Lang. We met a few years ago. At the airport. In Germany. I got really big. Ant-Man?…",FALSE,0,NA,2018-12-10 09:11:24,FALSE,NA,"1072056172709060608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",4654,TRUE,FALSE,NA,NA
"54","RT @MCU_Tweets: ""I finally rest. And watch the sun rise on a grateful universe."" #AvengersEndGame https://t.co/VBBpOuvHD5",FALSE,0,NA,2018-12-10 09:11:08,FALSE,NA,"1072056106900434944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",2426,TRUE,FALSE,NA,NA
"55","RT @MCU_Tweets: He still has a date... #AvengersEndgame https://t.co/eeKQVyqgvS",FALSE,0,NA,2018-12-10 09:11:05,FALSE,NA,"1072056095869419521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SansaInWinter",1684,TRUE,FALSE,NA,NA
"56","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:10:53,FALSE,NA,"1072056046091362305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","artsytater",2352,TRUE,FALSE,NA,NA
"57","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:10:48,FALSE,NA,"1072056023291215872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Flekzito",1407,TRUE,FALSE,NA,NA
"58","RT @maddywilson0: one taught me love,
one taught me patience,
one taught me pain,
and one taught me that marvel won’t give tony stark a bre…",FALSE,0,NA,2018-12-10 09:10:46,FALSE,NA,"1072056013568729089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dinnieeeeee",10932,TRUE,FALSE,NA,NA
"59","RT @MCU_Tweets: The new #AvengersEndGame trailer reveals that Shuri was also a victim of Thanos' snap... https://t.co/BgtJW9xenP",FALSE,0,NA,2018-12-10 09:10:45,FALSE,NA,"1072056012365008897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",1958,TRUE,FALSE,NA,NA
"60","RT @MCU_Tweets: As if there weren't enough reasons to be excited... #AvengersEndGame https://t.co/vZw8G7LlOy",FALSE,0,NA,2018-12-10 09:10:45,FALSE,NA,"1072056012276936704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",1305,TRUE,FALSE,NA,NA
"61","RT @RenataKonkoly: Tony Stark should not worry for a second, help is on the way. @elonmusk @SpaceX #AvengersEndgame https://t.co/DImN1fzcuN",FALSE,0,NA,2018-12-10 09:10:45,FALSE,NA,"1072056009076678656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elsascuriosity",1407,TRUE,FALSE,NA,NA
